Province/State,Country/Region,Lat,Long,4/20/20
Florida,US,30.67652764,-87.37284571,315
Florida,US,29.45933576,-81.31508595,76
Florida,US,29.83791238,-84.82731662,2
Florida,US,30.57796289,-84.61915825,57
Florida,US,29.72856978,-82.79880657,4
Florida,US,26.95635849,-81.18996211,5
Florida,US,29.93543004,-85.24270990000002,1
Florida,US,30.49673973,-82.94998918,3
Florida,US,27.49293939,-81.80956574,4
Florida,US,26.55386945,-81.16469006,44
Florida,US,28.55364461,-82.42700204,84
Florida,US,27.34254618,-81.34071957,71
Florida,US,27.9276559,-82.32013172,973
Florida,US,30.86747479,-85.81319222,6
Florida,US,27.69308961,-80.60556721,85
Florida,US,30.7954597,-85.21500423,9
Florida,US,30.43669112,-83.89442308,26
Florida,US,29.98484137,-83.18166636,1
Florida,US,28.76202069,-81.7125123,211
Florida,US,26.58410348,-81.88399313,785
Florida,US,30.45955727,-84.27491114,184
Florida,US,29.31829741,-82.74007147,13
Florida,US,30.23766008,-84.8829258,2
Florida,US,30.44396917,-83.47398594,23
Florida,US,27.47196942,-82.31831044,433
Florida,US,29.21227113,-82.05803627,129
Florida,US,27.0772071,-80.43109784,155
Florida,US,25.6112362,-80.55170587,9657
Florida,US,25.20904673,-81.07812416,73
Florida,US,30.61037141,-81.80297522,46
Florida,US,30.69143028,-86.59267105,131
Florida,US,27.386336199999995,-80.88944347,7
Florida,US,28.51367621,-81.31799498,1216
Florida,US,28.06312234,-81.14882926,410
Florida,US,26.64676272,-80.46536002,2260
Florida,US,28.30810945,-82.40227529,209
Florida,US,27.93130349,-82.72239666,607
Florida,US,27.95027105,-81.69732947,335
Florida,US,29.60779729,-81.74230285,58
Florida,US,29.90096506,-81.43589967,192
Florida,US,27.37763908,-80.47106649,204
Florida,US,30.69341450000001,-87.02458128,140
Florida,US,27.18546175,-82.33174248,291
Florida,US,28.7158582,-81.24060348,325
Florida,US,28.70181754,-82.0794267,153
Florida,US,30.19746066,-82.99099670000003,98
Florida,US,30.04848048,-83.60445406,2
Florida,US,30.04412971,-82.37497443,2
Florida,US,29.05858895,-81.18263252,342
Florida,US,30.16548905,-84.39895211,15
Florida,US,30.64204028,-86.16935664,32
Florida,US,30.61359259,-85.66002461,6
Georgia,US,31.74847232,-82.28909114,21
Georgia,US,31.29633502,-82.87545866,5
Georgia,US,31.55456473,-82.45936528,19
Georgia,US,31.32669878,-84.44218806,20
Georgia,US,33.06882326,-83.24701748,130
Georgia,US,34.35607081,-83.49644388,15
Georgia,US,33.99148694,-83.71436292,93
Georgia,US,34.23732119,-84.83887523,255
